############## LISACode v 1.4.5-16/06/2009 at 2009-07-04T14:40:09 ##############
############## Configuration : ConfigRefBase ##############
# # Time parameters (all in seconds) ;
# # Step in time (second) for simulate physics process (continuous) ;
#  Time : StepPhysic 0.5 ;
# # Step in time (second) for measurement the phasemeters (Numeric) ;
#  Time : StepMeasure 1 ;
# # Duration ;
#  TIME : Max 10000 ;
# # Precision in delays used by TDI ;
# # Time : DeltaTDIDelay 1e-6 ;
# # Display step ;
#  Time : StepDisplay 500 ;
# # Interpolation in TDI application ;
# Interpolation : LAG 20 ;
# 
# TDIDelayApprox : off ;
# 
# # Orbits and Geometry ;
# # Nominal armlenght ;
# Orbits : Armlength 5e9 ;
# # Start time for the orbits ;
# Orbits : StartTime 0.0 ;
# Orbits : InitialRotation 0.0 ;
# Orbits : Type LISACode ;
# Orbits : Approx Eccentric ;
# Orbits : Order 2 ;
# 
# # Detector parameters ; 
# # Laser power (in Watt) ;
# Detector : LaserPower 1 ;
# # Apply the filter in the phasemeter  ;
# Detector : PhaMetFilter On ;
# Detector : PhaMetFilterParameters : attenuation 180 oscillation 0.1 FactFmesForHighFreq 0.1 FactFmesForLowFreq 0.3 ;
# Detector : InternalPhasemeters IfNoises ;
# 
# # Record ASCII ;
#  Record : SignalSC 1 SC1.txt ASCII ;
# # Record : SignalSC 2 SC2.txt ASCII ;
# # Record : SignalSC 3 SC3.txt ASCII ;
#  Record : Delay Delay.txt ASCII ;
#  Record : Position Pos.txt ASCII ;
#  Record : TDI TDI.txt ASCII ;
# 
# # Record BINARY ;
# # Record : SignalSC 1 SC1.bin BINARY ;
#  Record : SignalSC 2 SC2.bin BINARY ;
#  Record : SignalSC 3 SC3.bin BINARY ;
# # Record : Delay Delay.bin BINARY ;
# # Record : Position Pos.bin BINARY ;
# # Record : TDI TDI.bin BINARY ;
# 
# 
# # Gravitationals waves ( Direction & Angle of polarisation : Beta  Lambda & Psi in degrees ) ;
# # Monochromatic GW ;
#  GW : Bet 27.0 , Lam 297.0 , Psi 229.0 : Mono : f 1e-4 , hp 1.0e-19 , hc 0.0 , Phi0hp 0.0 , Phi0hc 0.0 ;
# 
# # Binary source ( M1 & M2 in solar mass, orbital frequency in Hz, inclination in degrees, initial phase [0 , 2PI], distance in kpc) ;
#  GW : Bet 68.0 , Lam 135.0 , Psi 12.0  : Binary : M1 1.0e5 , M2 1.0e6 , forb 1.0e-3 , inc 42.0 , phi0 0 , r 1.0e5 ;
# 
# # Binary source compute in PN approximation ( M1 & M2 in solar mass, orbital frequency in Hz, inclination in degrees, initial phase [0 , 2PI], distance in kpc, type 1 for 1PN or 2 for PN, if type 2 omegao taud0 gw) ;
#  GW : Bet -56.0 , Lam 154.0 , Psi 32.0  : PostNewtonBinary : M1 1.0e6 , M2 1.0e6 , tcoal 9676800.0 , inc 90 , phase 1.2 , r 1e5 , type 2 , omega0 1.0 , taud0 10.0 , gw 1.0 ;
# 
# # Spinning black hole binary ;
# GW : Bet 37.68025039158266 , Lam 285.8612437864652 , Psi 0.0  : FastSpinBBH : M1 1465580.75942 , M2 868710.795073 , tcoal 31525128.7938 , phase 1.16933157672 , r 1000000.0 ,
#  S1 0.0770493004546 , S2 0.268523395273 , polS1 160.24533138914506 , polS2 130.59343637800927 , azS1 0.8027554175918619 , azS2 238.99790401516472 , polL 162.0742928004962 , azL 328.8864991548683 , PN 0.0 ;
# 
# # Stochastic source ;
# GW : Bet 11.715852394919027 , Lam 45.0 , Psi 0.0 : Stochastic : Slope -3 , Fmin 1.0e-5 , Fknee 0.1 , hp 1.6137533888e-25 ,  hc 1.6137533888e-25 ;
# 
# 
# # GW read in file ( file name) ;
# # GW : Bet 0.0 , Lam 0.0 , Psi 0.0 : File : GWAMCVn.txt ;
# 
# 
# # Noises ( Type[Laser, OpticalBench, InertialMass] , spacecraft number, Direction of external beam [0 for counterclockwise , 1 for clockwise] ;
#  Noise : Laser 1 0 : White 1.0e-13 ;
#  Noise : Laser 2 0 : White 1.0e-13 ;
#  Noise : Laser 3 0 : White 1.0e-13 ;
#  Noise : Laser 1 1 : White 1.0e-13 ;
#  Noise : Laser 2 1 : White 1.0e-13 ;
#  Noise : Laser 3 1 : White 1.0e-13 ;
#  Noise : Mass 1 0 : Filter_MLDC_IM 1.59e-24 1.e-4 ;
#  Noise : Mass 2 0 : Filter_MLDC_IM 1.59e-24 1.e-4 ;
#  Noise : Mass 3 0 : Filter_MLDC_IM 1.59e-24 1.e-4 ;
#  Noise : Mass 1 1 : Filter_MLDC_IM 1.59e-24 1.e-4 ;
#  Noise : Mass 2 1 : Filter_MLDC_IM 1.59e-24 1.e-4 ;
#  Noise : Mass 3 1 : Filter_MLDC_IM 1.59e-24 1.e-4 ;
# # Noise : Mass 1 0 : Filter_1of 1.59e-24 ;
# # Noise : Mass 2 0 : Filter_1of 1.59e-24 ;
# # Noise : Mass 3 0 : Filter_1of 1.59e-24 ;
# # Noise : Mass 1 1 : Filter_1of 1.59e-24 ;
# # Noise : Mass 2 1 : Filter_1of 1.59e-24 ;
# # Noise : Mass 3 1 : Filter_1of 1.59e-24 ;
#  Noise : Shot 1 0 : Filter_fLosP 2.30e-19 ;
#  Noise : Shot 2 0 : Filter_fLosP 2.30e-19 ;
#  Noise : Shot 3 0 : Filter_fLosP 2.30e-19 ;
#  Noise : Shot 1 1 : Filter_fLosP 2.30e-19 ;
#  Noise : Shot 2 1 : Filter_fLosP 2.30e-19 ;
#  Noise : Shot 3 1 : Filter_fLosP 2.30e-19 ;
#  Noise : OOPN 1 0 : Filter_f 3.49e-19 ;
#  Noise : OOPN 2 0 : Filter_f 3.49e-19 ;
#  Noise : OOPN 3 0 : Filter_f 3.49e-19 ;
#  Noise : OOPN 1 1 : Filter_f 3.49e-19 ;
#  Noise : OOPN 2 1 : Filter_f 3.49e-19 ;
#  Noise : OOPN 3 1 : Filter_f 3.49e-19 ;
# 
# 
# # 3 USO Clocks, one per spacecraft ( offset ... derivs ... noise ...) ;
# # USO : SC 2 : offset 0.006 ;
# # USO : SC 3 : derivs 1e-6 noise 1e-7 ;
# 
# 
# # TDI (Name) ;
# # Combinations ( sign delay1 delay2 ... measurement) for example : -5235 ;
# # For delay and measurement the number is [1,2,3] for counterclockwise and [4,5,6] for clockwise ;
#  TDI : X  ;
#  TDI : Y  ;
#  TDI : Z  ;
#  TDI : X2s1  1 , 35 , 364 , 3653 , 36524 , 365253 , 3652521 , 36525235 , 
#  -4 , -53 , -521 , -5235 , -52361 , -523635 , -5236364 , -52363653 ;
#  TDI : X2s2  ;
#  TDI : X2s3  3 , 24 , 256 , 2542 , 25416 , 254142 , 2541413 , 25414124 , 
#  -6 , -42 , -413 , -4124 , -41253 , -412524 , -4125256 , -41252542 ;
#  TDI : P1  25 , -63 , -22 , 66 , 642 , -216 , 1463 , -1425 ;
#  TDI : Zeta1 ;
#  TDI : A ;
#  TDI : E ;
#  TDI : T ;
#  TDI : Alpha ; 
#  TDI : AlphaId -1 , -32 , -133 , 4 , 455 , 56 ;
#  TDI : Alphaf2 -1 x 2 , -32 x 2 , -133 x 2 , 4 x 2 , 455 x 2 , 56 x 2 ;
# 
#  
#  END
#  
############## End of configuration ##############
#Time s1 sp1 tau1 taup1
-213 9.12829228195542e-14 -1.07577463653003e-14 2.74438825442759e-14 -2.74439500031916e-14
-212 6.62304319306203e-14 -1.42047729848276e-14 6.90355617600264e-15 -6.90362790579311e-15
-211 2.51507831404149e-14 -1.84807640852522e-14 -1.51495451703787e-14 1.51494695360056e-14
-210 -2.38168093404372e-14 -2.09083670733325e-14 -3.64722302407386e-14 3.6472152297745e-14
-209 -7.02382664167701e-14 -1.93372325070914e-14 -5.49381156007412e-14 5.49380375391767e-14
-208 -1.03822991106659e-13 -1.28468555795178e-14 -6.8792696450317e-14 6.87926202727562e-14
-207 -1.16992426120396e-13 -2.05314188215992e-15 -7.68779852667607e-14 7.68779121309945e-14
-206 -1.06890785663612e-13 1.10768503829848e-14 -7.88144097137702e-14 7.88143396138367e-14
-205 -7.62482364939598e-14 2.38307101943838e-14 -7.50989072230578e-14 7.50988390948109e-14
-204 -3.27849075294408e-14 3.35669181913717e-14 -6.70570998910611e-14 6.70570320764289e-14
-203 1.27607839676018e-14 3.84673061324208e-14 -5.66007706078245e-14 5.66007014905192e-14
-202 4.94906578888085e-14 3.79824054801571e-14 -4.57990811030568e-14 4.57990096796708e-14
-201 6.93104111572322e-14 3.28415742907065e-14 -3.63559324405056e-14 3.63558586287824e-14
-200 6.91375714971491e-14 2.46600396095141e-14 -2.91578356440679e-14 2.91577602368114e-14
-199 5.16727878974667e-14 1.53219719052243e-14 -2.40735602852057e-14 2.40734845917259e-14
-198 2.44590688776991e-14 6.39392273540642e-15 -2.01233845741527e-14 2.01233099014619e-14
-197 -2.52608466455232e-15 -1.20704085791525e-15 -1.60019673776665e-14 1.60018945518954e-14
-196 -2.00272242707615e-14 -7.19025432141853e-15 -1.07831616324853e-14 1.07830907329774e-14
-195 -2.24326268029416e-14 -1.1576728514909e-14 -4.52750787983185e-15 4.52743826875513e-15
-194 -9.52290497700846e-15 -1.42853861486719e-14 1.48724715851779e-15 -1.48731654278969e-15
-193 1.35356961442485e-14 -1.48501891505446e-14 5.06922656945551e-15 -5.06929678259388e-15
-192 3.79765777376407e-14 -1.24282264608619e-14 3.89865772440011e-15 -3.89872941970484e-15
-191 5.44376713177865e-14 -6.11540503461312e-15 -3.46303190200164e-15 3.46295869062232e-15
-190 5.62130267034825e-14 4.5640282844571e-15 -1.67253256432728e-14 1.67252514696473e-14
-189 4.16731297899156e-14 1.92163390365223e-14 -3.35454172775187e-14 3.35453430315475e-14
-188 1.50237623757333e-14 3.63951002325776e-14 -4.99265918719261e-14 4.99265184175906e-14
-187 -1.48954318557075e-14 5.37806930947603e-14 -6.12794185149529e-14 6.12793463622726e-14
-186 -3.74222215549333e-14 6.86807253128862e-14 -6.3835413507445e-14 6.38353426405675e-14
-185 -4.35888661374117e-14 7.86861642335061e-14 -5.59486731635868e-14 5.59486030802186e-14
-184 -2.91759788169189e-14 8.22655536523898e-14 -3.88233510051977e-14 3.88232809388113e-14
-183 3.73847450294192e-15 7.91109834110063e-14 -1.63688039089556e-14 1.63687331374777e-14
-182 4.72854230233295e-14 7.01433569227464e-14 5.83943942740672e-15 -5.83951130962116e-15
-181 9.02206371201659e-14 5.72006627763618e-14 2.22124147526423e-14 -2.2212487701032e-14
-180 1.21444787881304e-13 4.25293344443408e-14 2.89031957306558e-14 -2.8903269297235e-14
-179 1.33436388564279e-13 2.82453790170076e-14 2.50777145981306e-14 -2.50777881295114e-14
-178 1.24441813013843e-13 1.59190497470752e-14 1.32332394950835e-14 -1.32333123963475e-14
-177 9.87163034332794e-14 6.3765418293402e-15 -1.60534547755716e-15 1.60527351845921e-15
-176 6.48093971635667e-14 -2.67793158436507e-16 -1.35902557482752e-14 1.35901846592228e-14
-175 3.25759590999998e-14 -4.40428939869657e-15 -1.80861142552479e-14 1.80860436328921e-14
-174 1.00136797811893e-14 -6.63895935783436e-15 -1.32997753587383e-14 1.3299704645562e-14
-173 1.02879824829352e-15 -7.51740485757654e-15 -8.76075502515191e-16 8.76004211945463e-16
-172 4.82616017182064e-15 -7.33179612110732e-15 1.48001888278415e-14 -1.48002609281741e-14
-171 1.69756762351964e-14 -6.04555061712319e-15 2.83517118194381e-14 -2.83517846345049e-14
-170 3.15813015578157e-14 -3.33688805265452e-15 3.5523579324334e-14 -3.55236524900453e-14
-169 4.36135167630074e-14 1.26276638355487e-15 3.48066131432553e-14 -3.48066861855546e-14
-168 5.04940416017744e-14 8.17600213255085e-15 2.78896439608132e-14 -2.78897164875473e-14
-167 5.24115538266789e-14 1.75809252739687e-14 1.87414705073854e-14 -1.87415423563347e-14
-166 5.14210209368269e-14 2.925364204322e-14 1.17108423550024e-14 -1.17109136430722e-14
-165 4.98873799384108e-14 4.24843850849649e-14 9.47495172850283e-15 -9.4750227888041e-15
-164 4.90638320326504e-14 5.60778796096171e-14 1.17613811725892e-14 -1.17614524106008e-14
-163 4.84615520085941e-14 6.84304766320236e-14 1.54564508073001e-14 -1.54565225370594e-14
-162 4.62492870353633e-14 7.76745997531972e-14 1.61131611770351e-14 -1.61132335026009e-14
-161 4.04194189417955e-14 8.18946249858089e-14 1.0236994436574e-14 -1.02370672226072e-14
-160 3.01020560819454e-14 7.94298320198643e-14 -2.66224255247702e-15 2.66216961448572e-15
-159 1.63560683122384e-14 6.92660232228711e-14 -1.92256935399497e-14 1.92256208010638e-14
-158 2.02880381081722e-15 5.1468137199947e-14 -3.31107366404133e-14 3.31106643539923e-14
-157 -9.27574839574613e-15 2.75382078231751e-14 -3.73517179433341e-14 3.73516461706665e-14
-156 -1.4657500345316e-14 5.34126207225356e-16 -2.73335535028159e-14 2.73334820991931e-14
-155 -1.31413837670172e-14 -2.52052490853473e-14 -3.1626530255695e-15 3.16258170796786e-15
-154 -6.09373017238563e-15 -4.47938270690654e-14 2.9622284682399e-14 -2.96223562169164e-14
-153 3.36966393487935e-15 -5.39016856668345e-14 6.14489014269698e-14 -6.14489733812762e-14
-152 1.17306654234051e-14 -4.99689582741761e-14 8.18382855709016e-14 -8.18383579734397e-14
-151 1.65717752155451e-14 -3.31563066294418e-14 8.31569711253366e-14 -8.31570438281913e-14
-150 1.75561399432658e-14 -6.66349752483121e-15 6.35756610835133e-14 -6.35757338299403e-14
-149 1.64311242941457e-14 2.38006893942356e-14 2.80551595202439e-14 -2.80552320515579e-14
-148 1.60344912165801e-14 5.13501703552026e-14 -1.31045509185619e-14 1.31044787607561e-14
-147 1.87321226320612e-14 6.97216057090357e-14 -4.7695978740078e-14 4.76959069562793e-14
-146 2.4985578192564e-14 7.50119059035159e-14 -6.57942347534344e-14 6.57941631937047e-14
-145 3.27174327438164e-14 6.67979460792006e-14 -6.31720481834972e-14 6.31719766138604e-14
-144 3.78221738686043e-14 4.8253489939586e-14 -4.26747842309618e-14 4.26747124297682e-14
-143 3.56930105416075e-14 2.51918065096939e-14 -1.30406636811126e-14 1.30405915260394e-14
-142 2.319752858102e-14 4.31398147655424e-15 1.43994254666049e-14 -1.43994979546663e-14
-141 3.17346008142431e-16 -8.78909192006538e-15 2.99177417419013e-14 -2.99178144132756e-14
-140 -2.92415196653379e-14 -1.12441913888252e-14 2.89222839165411e-14 -2.89223565571083e-14
